coin	hourly	change	granular	time_stamp
Ontology	-0.3	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Fantom	-0.2	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
coin	hourly	change	granular	time_stamp
Bitcoin	0.2	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Ethereum	0.1	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Tether	0	negative	neutral (0%)	2021-06-27T11:00:06Z
Binance Coin	0.6	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Cardano	-0.7	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Dogecoin	0.2	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
XRP	-0.3	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
USD Coin	0.4	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Polkadot	-0.2	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Binance USD	1.1	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Bitcoin Cash	-0.3	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Litecoin	-0.5	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Uniswap	-0.7	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Solana	0.9	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Chainlink	-0.1	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Polygon	0.4	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Theta Network	0.4	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Wrapped Bitcoin	0	negative	neutral (0%)	2021-06-27T11:00:06Z
Stellar	-0.4	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Ethereum Classic	-0.7	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Dai	0	negative	neutral (0%)	2021-06-27T11:00:06Z
VeChain	-0.6	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
TRON	0.1	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Filecoin	-0.6	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Internet Computer	-0.4	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Shiba Inu	0.5	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
cUSDC	0.1	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Monero	-0.2	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
EOS	-0.6	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
cDAI	0.1	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Amp	0.2	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
OKB	0.8	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Crypto.com Coin	0.9	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Aave	-0.3	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Algorand	-0.9	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Bitcoin SV	-0.2	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Klaytn	0.7	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
PancakeSwap	-0.3	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Cosmos	-1.1	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
NEO	-1.8	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
Terra	1	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
Theta Fuel	-1.5	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
IOTA	-0.1	negative	chilly (-0-2%)	2021-06-27T11:00:06Z
cETH	-0	negative	neutral (0%)	2021-06-27T11:00:06Z
LEO Token	3.5	positive	warm (2-4%)	2021-06-27T11:00:06Z
Celsius Network	0.5	positive	luke warm (0-2%)	2021-06-27T11:00:06Z
