coin	hourly	change	granular	time_stamp
TRON	2	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Filecoin	1.5	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Internet Computer	2.8	positive	warm (2-4%)	2021-06-26T22:15:04Z
Shiba Inu	2.5	positive	warm (2-4%)	2021-06-26T22:15:04Z
cUSDC	0.7	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Monero	2.7	positive	warm (2-4%)	2021-06-26T22:15:04Z
EOS	2.3	positive	warm (2-4%)	2021-06-26T22:15:04Z
cDAI	0.7	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Amp	1.2	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
OKB	2.2	positive	warm (2-4%)	2021-06-26T22:15:04Z
Algorand	2	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Crypto.com Coin	2.2	positive	warm (2-4%)	2021-06-26T22:15:04Z
Klaytn	1	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Aave	2.4	positive	warm (2-4%)	2021-06-26T22:15:04Z
Bitcoin SV	0.7	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
PancakeSwap	1.8	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Theta Fuel	5.1	positive	toasty (4-6%)	2021-06-26T22:15:04Z
Cosmos	1.9	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Celsius Network	0.5	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
NEO	2.5	positive	warm (2-4%)	2021-06-26T22:15:04Z
Terra	2	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
IOTA	2.7	positive	warm (2-4%)	2021-06-26T22:15:04Z
Tezos	2.8	positive	warm (2-4%)	2021-06-26T22:15:04Z
LEO Token	0.6	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
cETH	0.6	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
FTX Token	1.4	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
TerraUSD	0.8	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Maker	2.2	positive	warm (2-4%)	2021-06-26T22:15:04Z
Avalanche	2.6	positive	warm (2-4%)	2021-06-26T22:15:04Z
SafeMoon	1.2	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
Huobi Token	1.4	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
BitTorrent	2.1	positive	warm (2-4%)	2021-06-26T22:15:04Z
Hedera Hashgraph	0.9	positive	luke warm (0-2%)	2021-06-26T22:15:04Z
